Record ID,Aircraft: Type,Airport: Name,Altitude bin,Aircraft: Make/Model,Wildlife: Number struck,Wildlife: Number Struck Actual,Effect: Impact to flight,FlightDate,Effect: Indicated Damage,Aircraft: Airline/Operator,Origin State,When: Phase of flight,Conditions: Precipitation,Remains of wildlife collected?,Remains of wildlife sent to Smithsonian,Remarks,Wildlife: Size,Conditions: Sky,Wildlife: Species,Pilot warned of birds or wildlife?,Cost: Total $,Feet above ground,Number of people injured,Is Aircraft Large?
1195,Airplane,BARKSDALE AIR FORCE BASE ARPT,> 1000 ft,B-52H,2 to 10,9,None,13/11/2002 0:00,No damage,MILITARY,Louisiana,Approach,None,FALSE,FALSE,None.,Medium,Overcast,Unknown bird or bat,Y,0,"2,000",0,No
3019,Airplane,EDWARDS AIR FORCE BASE,< 1000 ft,T-38A,1,1,Precautionary Landing,10/10/2002 0:00,No damage,MILITARY,California,Climb,None,FALSE,FALSE,,Medium,No Cloud,Unknown bird or bat,Y,0,400,0,No
3500,Airplane,BARKSDALE AIR FORCE BASE ARPT,< 1000 ft,B-52H,1,1,Precautionary Landing,15/05/2001 0:00,No damage,MILITARY,Louisiana,Approach,None,FALSE,FALSE,,Medium,No Cloud,Unknown bird or bat,Y,0,"1,000",0,No
3504,Airplane,BARKSDALE AIR FORCE BASE ARPT,> 1000 ft,B-52H,2 to 10,8,Precautionary Landing,23/05/2001 0:00,No damage,MILITARY,Louisiana,Approach,None,FALSE,FALSE,,Medium,No Cloud,Unknown bird or bat,Y,0,"1,800",0,No
3597,Airplane,SHEPPARD AIR FORCE BASE,< 1000 ft,AT-38B,1,1,None,18/04/2001 0:00,No damage,MILITARY,Texas,Approach,None,TRUE,TRUE,,Small,Some Cloud,Upland sandpiper,Y,0,200,0,No
4064,Airplane,BARKSDALE AIR FORCE BASE ARPT,< 1000 ft,B-52H,2 to 10,10,None,6/04/2000 0:00,No damage,MILITARY,Louisiana,Approach,None,FALSE,FALSE,A bird struck the left inboard flap and one was ingested into the #7 engine intake.,Medium,No Cloud,Unknown bird or bat,Y,0,"1,000",0,No
4074,Airplane,EGLIN AFB/NW FLORIDA REGIONAL ARPT,< 1000 ft,F-16D,2 to 10,5,None,15/07/2002 0:00,No damage,MILITARY,Florida,Take-off run,None,TRUE,TRUE,,Small,No Cloud,Mourning dove,Y,0,0,0,No
4076,Airplane,BARKSDALE AIR FORCE BASE ARPT,< 1000 ft,B-52H,1,1,Precautionary Landing,15/07/2002 0:00,No damage,MILITARY,Louisiana,Climb,None,TRUE,TRUE,During touch and go bird struck the top of the nose radome between the #! and #2 window.,Small,Some Cloud,Barn swallow,Y,0,500,0,No
4090,Airplane,CHARLESTON AFB/INTL ARPT,< 1000 ft,C-17A,2 to 10,5,Precautionary Landing,2/07/2001 0:00,No damage,MILITARY,South Carolina,Climb,None,FALSE,FALSE,,Medium,Some Cloud,Unknown bird or bat,Y,0,50,0,No
4091,Airplane,CHARLESTON AFB/INTL ARPT,< 1000 ft,C-21A,2 to 10,2,Aborted Take-off,7/07/2001 0:00,No damage,MILITARY,South Carolina,Take-off run,None,FALSE,FALSE,,Medium,Some Cloud,Unknown bird or bat,Y,0,0,0,No
4176,Airplane,BARKSDALE AIR FORCE BASE ARPT,< 1000 ft,B-52H,2 to 10,7,Precautionary Landing,25/07/2002 0:00,No damage,MILITARY,Louisiana,Climb,None,FALSE,FALSE,No damage found.,Medium,No Cloud,Unknown bird or bat,Y,0,0,0,No
4177,Airplane,SHEPPARD AIR FORCE BASE,< 1000 ft,T-38A,1,1,Precautionary Landing,28/07/2002 0:00,Caused damage,MILITARY,Texas,Approach,None,FALSE,FALSE,Large bird ingested down left engine.  Severe engine damage followed,Medium,Some Cloud,Unknown bird or bat,Y,"103,955",500,0,No
4259,Airplane,SHEPPARD AIR FORCE BASE,> 1000 ft,AT-38B,1,1,None,17/07/2000 0:00,No damage,MILITARY,Texas,Approach,None,FALSE,FALSE,,Medium,No Cloud,Unknown bird or bat,Y,21,"1,800",0,No
4261,Airplane,SHEPPARD AIR FORCE BASE,< 1000 ft,AT-38B,1,1,None,18/07/2000 0:00,No damage,MILITARY,Texas,Take-off run,None,TRUE,TRUE,,Small,No Cloud,Scissor-tailed flycatcher,Y,"4,267",0,0,No
4344,Airplane,CHARLESTON AFB/INTL ARPT,< 1000 ft,C-17A,2 to 10,9,Precautionary Landing,4/09/2001 0:00,No damage,MILITARY,South Carolina,Climb,Rain,FALSE,FALSE,,Medium,Some Cloud,Unknown bird or bat,Y,0,0,0,No
4396,Airplane,BARKSDALE AIR FORCE BASE ARPT,< 1000 ft,B-52H,1,1,None,2/04/2001 0:00,No damage,MILITARY,Louisiana,Approach,None,FALSE,FALSE,A blood smear was found on post flight inspection where the right external fuel tank strut meets the wing.,Medium,No Cloud,Unknown bird or bat,Y,0,200,0,No
4401,Airplane,BARKSDALE AIR FORCE BASE ARPT,< 1000 ft,B-52H,1,1,Precautionary Landing,5/04/2001 0:00,No damage,MILITARY,Louisiana,Approach,None,FALSE,FALSE,,Medium,No Cloud,Unknown bird or bat,Y,0,40,0,No
4465,Airplane,CHARLESTON AFB/INTL ARPT,< 1000 ft,C-21A,2 to 10,5,Aborted Take-off,7/07/2001 0:00,No damage,MILITARY,South Carolina,Climb,None,FALSE,FALSE,"WHILE ON THE RUNWAY, THE CREW SAW A THE BIRD GO OVER THE TOP OF THE CANOPY DURING A TOUCH AND GO. THE CREW ABORTED THE TAKEOFF FOR A POSSIBLE BIRD STRIKE. UPON INSPECTION, THE CREW NOTED TWO IMPACT POINTS ON THE ACFT. NO DAMAGE WAS NOTED.",Medium,No Cloud,Unknown bird or bat,Y,0,0,0,No
4469,Airplane,CHARLESTON AFB/INTL ARPT,< 1000 ft,C-17A,2 to 10,10,None,28/01/2001 0:00,No damage,MILITARY,South Carolina,Approach,None,FALSE,FALSE,,Medium,No Cloud,Unknown bird or bat,Y,0,400,0,No
4475,Airplane,CHARLESTON AFB/INTL ARPT,< 1000 ft,C-17A,1,1,Precautionary Landing,16/06/2000 0:00,No damage,MILITARY,South Carolina,Approach,None,FALSE,FALSE,,Medium,Some Cloud,Unknown bird or bat,Y,0,300,0,No
