Record ID,Aircraft: Type,Airport: Name,Altitude bin,Aircraft: Make/Model,Wildlife: Number struck,Wildlife: Number Struck Actual,Effect: Impact to flight,FlightDate,Effect: Indicated Damage,Aircraft: Airline/Operator,Origin State,When: Phase of flight,Conditions: Precipitation,Remains of wildlife collected?,Remains of wildlife sent to Smithsonian,Remarks,Wildlife: Size,Conditions: Sky,Wildlife: Species,Cost: Total $,Feet above ground,Number of people injured,Is Aircraft Large?
267028,Airplane,LAGUARDIA NY,< 1000 ft,B-757-200,1,1,None,22/08/2009 0:00,No damage,AMERICAN AIRLINES,New York,Approach,None,FALSE,FALSE,BIRDSTRIKE ON APCH. ARFF RESPONDED. A/C TAXIED TO RAMP W/O INCIDENT,Small,Some Cloud,Rock pigeon,0,100,0,Yes
266554,Airplane,SIOUX GATEWAY ARPT,< 1000 ft,CITATION X,1,1,None,23/08/2009 0:00,No damage,BUSINESS,Iowa,Approach,None,FALSE,FALSE,1 TO 2 SML BIRDS SEEN BY A/C. HIT 1,Small,No Cloud,Unknown bird - small,0,200,0,No
266109,Airplane,NEW ORLEANS INTL,< 1000 ft,B-737-300,1,1,None,23/08/2009 0:00,No damage,CONTINENTAL AIRLINES,Louisiana,Approach,None,FALSE,FALSE,ATIS WARNING. NO DMG REPTD. A/C LANDED AND TAXIED TO GATE.,Small,No Cloud,Unknown bird - small,0,250,0,Yes
265130,Airplane,BENITO JUAREZ INTL,< 1000 ft,B-737-800,1,1,None,23/08/2009 0:00,No damage,AMERICAN AIRLINES,N/A,Climb,None,FALSE,FALSE,BIRD STRUCK JUST ABOVE CAPT WINDSCREEN. NO DMG NOTED.,Small,No Cloud,Unknown bird - small,0,25,0,Yes
266080,Airplane,ORLANDO INTL,< 1000 ft,B-737-300,1,1,None,23/08/2009 0:00,No damage,SOUTHWEST AIRLINES,Florida,Approach,None,FALSE,FALSE,NO DMG.,Small,No Cloud,Unknown bird - small,0,300,0,Yes
265128,Airplane,JAMES M COX DAYTON INTL,< 1000 ft,B-717-200,1,1,None,23/08/2009 0:00,No damage,AIRTRAN AIRWAYS,Ohio,Approach,None,FALSE,FALSE,BIRDS APPEARED TO COME FROM EDGE OF RWY.,Small,No Cloud,Unknown bird - small,0,50,0,No
266549,Airplane,BALTIMORE WASH INTL,< 1000 ft,B-737-300,1,1,None,23/08/2009 0:00,No damage,SOUTHWEST AIRLINES,Maryland,Approach,None,FALSE,FALSE,NO DMG. THREE MILE FINAL.,Small,Some Cloud,Unknown bird - small,0,"1,000",0,Yes
264188,Airplane,BALTIMORE WASH INTL,< 1000 ft,C-402,1,1,None,23/08/2009 0:00,No damage,CAPE AIR,Maryland,Approach,None,FALSE,FALSE,1/2 FINAL 33R. NO DMG.,Small,No Cloud,Unknown bird - small,0,500,0,No
266547,Airplane,PORTLAND INTL (OR),< 1000 ft,B-737-300,1,1,None,23/08/2009 0:00,No damage,SOUTHWEST AIRLINES,Oregon,Approach,None,FALSE,FALSE,FRWD JUST UNDER F/O. MX CONTACTED TO INSPECT. NO DMG FOUND. OCCURRED 7 MILES FROM PDX.,Small,Some Cloud,Unknown bird - small,0,"1,000",0,Yes
263834,Airplane,ST. PAUL DOWNTOWN ARPT,< 1000 ft,CITATION,1,1,None,23/08/2009 0:00,No damage,UNKNOWN,Minnesota,Landing Roll,None,TRUE,FALSE,"FROM TWR, A/C REPTD TO TWR HE ROLLED OVER A GULL ON RWY 14. GULL WAS KILLED ON RWY AND MX REMOVED IT. NO A/C DMG.",Medium,No Cloud,Ring-billed gull,0,0,0,No
264286,Airplane,GREATER PEORIA REGIONAL ARPT,< 1000 ft,EMB-145,1,1,None,23/08/2009 0:00,No damage,AMERICAN EAGLE AIRLINES,Illinois,Approach,None,TRUE,FALSE,GLANCING HIT ON RT SIDE NOSE SECTION. NO DMG. APRT PERSONNEL FOUND REMAINS INTACT. BIRD WAS HIT OVER RWY JUST BEFORE T/D.,Small,No Cloud,Mourning dove,0,20,0,No
266735,Airplane,CLEVELAND-HOPKINS INTL ARPT,< 1000 ft,EMB-145,1,1,None,23/08/2009 0:00,No damage,EXPRESSJET (CONTINENTAL EXPRS),Ohio,Landing Roll,None,TRUE,FALSE,REMAINS FOUND ON RWY AT TWY T. (BIRD ALSO REPTD AS HAWK)  ATIS WARNING.,Small,Overcast,Killdeer,0,0,0,No
