Record ID,Aircraft: Type,Airport: Name,Altitude bin,Aircraft: Make/Model,Wildlife: Number struck,Wildlife: Number Struck Actual,Effect: Impact to flight,FlightDate,Effect: Indicated Damage,Aircraft: Airline/Operator,Origin State,When: Phase of flight,Conditions: Precipitation,Remains of wildlife collected?,Remains of wildlife sent to Smithsonian,Remarks,Wildlife: Size,Conditions: Sky,Wildlife: Species,Pilot warned of birds or wildlife?,Cost: Total $,Feet above ground,Number of people injured,Is Aircraft Large?
307454,Airplane,MINETA SAN JOSE INTL,< 1000 ft,B-737-700,1,1,None,19/10/2010 0:00,No damage,SOUTHWEST AIRLINES,California,Take-off run,Rain,FALSE,FALSE,A/C REPTD STRIKE ON 30R AND CONTD TO FINAL DESTINATION. ARPT OPS FOUND INJURED HAWK 10 MINUTES LATER. ANIMAL CONTROL PICKED UP THE BIRD. NO DMG TO A/C.,Medium,No Cloud,Red-tailed hawk,Y,0,0,0,Yes
307456,Airplane,JOHN F KENNEDY INTL,< 1000 ft,A-320,1,1,None,19/10/2010 0:00,No damage,JETBLUE AIRWAYS,New York,Climb,None,FALSE,FALSE,"NO DMG. PARTIAL REMAINS ON WINDSCREEN. (DATA ENTRY NOTE: ALT REPTD AS 100 AND 1500, TOOK AVG)",Small,No Cloud,Unknown bird - small,N,0,800,0,No
307458,Airplane,TUCSON INTL,< 1000 ft,B-737-700,1,1,None,21/10/2010 0:00,No damage,SOUTHWEST AIRLINES,Arizona,Landing Roll,None,FALSE,FALSE,NO DMG.,Small,No Cloud,Sparrows,Y,0,0,0,Yes
307459,Airplane,BUSH FLD,< 1000 ft,CL-RJ100/200,1,1,None,21/10/2010 0:00,No damage,PSA AIRLINES,Georgia,Landing Roll,None,FALSE,FALSE,NO DMG,Small,No Cloud,Unknown bird - small,N,0,0,0,No
307460,Airplane,WASHINGTON DULLES INTL ARPT,< 1000 ft,A-320,1,1,Aborted Take-off,21/10/2010 0:00,No damage,JETBLUE AIRWAYS,DC,Take-off run,None,TRUE,FALSE,NO APPARENT DAMAGE TO A/C. BIRD TAKEN TO WILDLIFE CENTER AND RECOVERED. 8.6LB MATURE MALE. ATIS WARNING. RWY OPEN AGAIN AT 2100.,Large,No Cloud,Bald eagle,Y,0,0,0,No
307461,Airplane,HONOLULU INTL ARPT,< 1000 ft,B-747-400,2 to 10,5,None,21/10/2010 0:00,No damage,JAPAN AIRLINES,Hawaii,Take-off run,None,TRUE,FALSE,PILOT REPORTED POSSIBLE BIRDSTRIKE AFTER DEPARTING. UNKN WHERE STRIKE IMPACTED BECAUSE A/C CONTD FLT. NO DAMAGE REPORTED. FOUND 2 CARCASSES.,Small,Some Cloud,Pacific golden-plover,Y,0,0,0,No
307466,Airplane,DUTCHESS COUNTY ARPT,> 1000 ft,CL-600,1,1,None,22/10/2010 0:00,No damage,BUSINESS,New York,Approach,None,TRUE,TRUE,"ID BY SMITHSONIAN, FAA  5148. DNA. PILOT REPORTED STRIKE AFTER PARKING. NO DMG.",Small,No Cloud,Hermit thrush,N,0,"3,000",0,No
307469,Airplane,BUFFALO-NIAGARA INTL,< 1000 ft,MD-88,1,1,None,22/10/2010 0:00,No damage,DELTA AIR LINES,New York,Approach,None,TRUE,FALSE,"(DATA ENTRY NOTE: ALT REPTD AS 250 AND 100, TOOK AVG)",Medium,Some Cloud,Ring-billed gull,N,0,175,0,No
307471,Airplane,SACRAMENTO INTL,< 1000 ft,B-737-300,1,1,None,23/10/2010 0:00,No damage,SOUTHWEST AIRLINES,California,Approach,Rain,TRUE,TRUE,ID BY SMITHSONIAN. UNDETERMINED SPECIES OF PASSERINE. NO DMG.,Small,Overcast,Perching birds (y),Y,0,100,0,Yes
307472,Airplane,NEWARK LIBERTY INTL ARPT,< 1000 ft,B-737-500,1,1,None,24/10/2010 0:00,No damage,CONTINENTAL AIRLINES,New Jersey,Approach,None,TRUE,TRUE,"ID BY SMITHSONIAN. SNARGE FOUND ON NOSE GEAR DOOR, LEFT SIDE. SAMPLE TAKEN FOR ID.",Small,Some Cloud,American robin,Y,0,200,0,Yes
